what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831520709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831523078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831524394
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1434831526547
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1434831528562
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1434831529287
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1434831529288
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1434831530834
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1434831531023
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1434831533155
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1434831534606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1434831536997
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1434831553392
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1434831565362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1434831565512
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1434831567694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1434831567714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434831597630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831598473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831601116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831603490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831607487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434831610142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831610639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831615431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434831617857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831618369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831621661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434831626307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434831626908
